Num_threads, size, secs, AVG_already_solved, SD_already_solved, AVG_iterations, SD_iterations, thread_assigment_method
 13,       3000,  0.97427,    415613.5385,     47755.9407,   4962008.7692,    423474.8237, 1
 13,       3000,  0.97053,    405388.0000,     59335.3544,   4974921.8462,    945021.3976, 1
 13,       3000,  1.15017,    471705.6923,     72019.2833,   5673721.0000,    640233.8291, 1
 13,       3000,  1.08795,    453738.1538,     33112.5236,   5416315.2308,    603145.8509, 1
 14,       3000,  1.01459,    387253.9286,     52918.8188,   4731531.0000,    510426.6484, 1
 14,       3000,  1.01593,    377681.7143,     67680.8202,   4334374.5714,    893882.5641, 1
 14,       3000,  1.02770,    420930.2143,     82572.6656,   4846838.2143,    675676.7359, 1
 14,       3000,  0.97367,    378959.0000,     34098.3010,   4592415.2143,    417373.7269, 1
 14,       3000,  1.03754,    440994.0000,     81953.2006,   4899207.0000,    508845.0854, 1
 15,       3000,  1.06109,    397797.4000,     52906.4293,   4412109.3333,    464564.2801, 1
 15,       3000,  1.08143,    421612.2000,     66166.2246,   4657182.2667,    404356.9228, 1
 15,       3000,  1.03816,    425053.5333,     92782.0758,   4313091.1333,    716785.7237, 1
 15,       3000,  0.99747,    288839.6667,     52096.2373,   3667281.6667,    582893.0603, 1
 15,       3000,  1.02188,    430906.4000,    112091.2553,   4285232.6667,   1150129.0915, 1
 16,       3000,  1.00219,    442863.4375,    120268.3732,   4161828.4375,    693695.9324, 1
 16,       3000,  0.96577,    307741.8750,     42054.8162,   3707314.3750,    558933.8549, 1
 16,       3000,  1.02753,    348645.6250,     54868.2650,   4231195.8750,    612073.3038, 1
 16,       3000,  1.00781,    375319.0625,     53284.9691,   4202227.0625,    236945.4324, 1
 16,       3000,  0.97783,    320553.5625,     32229.0788,   4049351.6875,    244467.2550, 1
  1,       4000,  1.88380,         0.0000,         0.0000,  29565944.0000,         0.0000, 1
  1,       4000,  1.87981,         0.0000,         0.0000,  29531290.0000,         0.0000, 1
  1,       4000,  1.89251,         0.0000,         0.0000,  29561454.0000,         0.0000, 1
  1,       4000,  1.88729,         0.0000,         0.0000,  29555665.0000,         0.0000, 1
  1,       4000,  1.88653,         0.0000,         0.0000,  29567510.0000,         0.0000, 1
  2,       4000,  1.98872,   2838571.0000,    593751.9073,  28948925.0000,     22204.5671, 1
  2,       4000,  1.99035,   2839937.5000,    693260.9233,  28935857.5000,     45299.3817, 1
  2,       4000,  1.98163,   2881031.0000,    647661.7283,  28837914.0000,     22985.2130, 1
  2,       4000,  1.99148,   2857404.5000,    721550.8514,  28938218.0000,     27210.8832, 1
  2,       4000,  1.98621,   2869187.5000,    668534.8134,  28888146.0000,     22778.7378, 1
  3,       4000,  1.17382,   1329129.3333,    216141.2703,  16750455.0000,    324143.0753, 1
  3,       4000,  1.48329,   1914697.6667,    138873.9796,  20490955.0000,     95784.5864, 1
  3,       4000,  1.29799,   1589196.0000,    322001.2303,  18261794.6667,    116077.6314, 1
  3,       4000,  1.30491,   1587014.6667,    113523.3408,  18342640.0000,     90993.1303, 1
  3,       4000,  1.14078,   1230521.6667,    133553.8515,  16289736.0000,    243527.0878, 1
  4,       4000,  2.05452,   6273280.2500,   4015539.9776,  25702457.7500,   3651199.9161, 1
  4,       4000,  2.27747,   3864338.7500,    345528.6117,  27977118.7500,     63289.1089, 1
  4,       4000,  2.05515,   6277649.2500,   4072303.2975,  25726172.0000,   3552534.6645, 1
  4,       4000,  2.06170,   6259955.0000,   4100365.7956,  25789658.7500,   3542507.3124, 1
  4,       4000,  2.05859,   6251562.0000,   4078230.5017,  25751118.7500,   3592644.2513, 1
  5,       4000,  1.30166,   2872186.4000,   1093417.8101,  14495028.4000,   1990067.5464, 1
  5,       4000,  1.29919,   3612872.2000,   1527500.9670,  14870330.4000,   1790237.0190, 1
  5,       4000,  1.41265,   3119114.6000,   1656324.2738,  15621058.0000,   2893568.9202, 1
  5,       4000,  1.28259,   2722485.0000,   1356145.4470,  15498263.2000,   1976534.9481, 1
  5,       4000,  1.18956,   2799642.4000,   1831733.8252,  14697719.6000,   1882885.9197, 1
  6,       4000,  1.20217,   3582386.8333,   2169968.1852,  14095182.1667,   2052367.1851, 1
  6,       4000,  1.30040,   3654771.5000,   1815312.5449,  15010176.6667,   1917312.6799, 1
  6,       4000,  1.73715,   1016162.1667,    212010.5445,  15266788.8333,    110796.5826, 1
  6,       4000,  1.68678,   2469561.1667,   1019585.2859,  16410408.3333,    961464.7398, 1
  6,       4000,  1.12028,   3546258.3333,   2265332.0035,  13410509.3333,   2000497.9252, 1
  7,       4000,  1.35249,   3562362.1429,   1449374.2792,  14217220.7143,   2304551.1424, 1
  7,       4000,  1.31534,   2937642.8571,    919432.0290,  13437125.8571,   1407990.3691, 1
  7,       4000,  1.34520,   3579033.5714,   1531791.1140,  14187323.2857,   2191131.7447, 1
  7,       4000,  1.31817,   3214782.7143,   1388571.9568,  13665753.0000,   2149851.4378, 1
  7,       4000,  1.34838,   3897005.1429,   1000296.3872,  14495944.5714,   1488412.2920, 1
  8,       4000,  2.23705,   1238567.3750,     57061.2713,  17696748.2500,     60970.1962, 1
  8,       4000,  2.17398,   1408053.0000,    265999.3841,  17612739.1250,     65454.1794, 1
  8,       4000,  1.96542,   1017155.8750,     94768.4034,  15693116.5000,     88026.2352, 1
  8,       4000,  2.12049,   1151761.6250,     87790.9902,  16853782.0000,     69176.6272, 1
  8,       4000,  2.47737,   1542223.3750,    111359.2599,  19550972.5000,     64997.0849, 1
  9,       4000,  1.75957,   1011875.5556,     92577.0488,  12762300.5556,    644329.6396, 1
  9,       4000,  1.90445,   1077259.3333,     74931.1958,  13695964.0000,   1102441.0324, 1
  9,       4000,  1.76893,    966835.2222,     74644.6265,  12820366.4444,    961792.0204, 1
  9,       4000,  1.87516,   1122820.7778,    202004.6275,  13467558.4444,    776458.8034, 1
  9,       4000,  1.84984,   1005314.2222,     67335.2929,  13341734.2222,    905435.4026, 1
 10,       4000,  1.84425,   1002442.7000,     87584.6052,  12163100.8000,    835007.2410, 1
 10,       4000,  1.70975,    926865.3000,    152936.5019,  11300136.1000,    749749.5001, 1
 10,       4000,  1.74310,    874996.9000,    120234.6758,  11364370.2000,    867279.7157, 1
 10,       4000,  1.86307,    951789.3000,     48836.3915,  12130591.7000,    653644.2005, 1
 10,       4000,  1.96574,    997414.8000,     89483.0760,  12730819.5000,    546841.3998, 1
 11,       4000,  1.92279,    877589.5455,    125110.4044,  11211065.7273,    805042.1590, 1
 11,       4000,  1.81105,    899126.9091,    165689.8577,  10826371.3636,    822657.0919, 1
 11,       4000,  1.70884,    774803.0000,    117182.5708,  10184801.4545,   1022744.0322, 1
 11,       4000,  1.70228,    822849.6364,     78173.2766,  10248910.6364,   1280103.5394, 1
 11,       4000,  1.72931,    826152.2727,     73885.7639,  10322904.1818,    690401.3552, 1
 12,       4000,  1.99053,    875948.7500,     80398.3990,  10667053.9167,    733547.2962, 1
 12,       4000,  1.89454,    848412.5833,    113150.1572,  10195981.0000,    724811.1132, 1
 12,       4000,  1.93166,    856057.5833,     71284.5841,  10478660.0000,    594683.6746, 1
 12,       4000,  1.95318,    896763.7500,     97549.8161,  10622488.8333,    817938.9802, 1
 12,       4000,  1.87301,    846995.4167,    140497.1679,  10158370.5833,    715504.0878, 1
 13,       4000,  1.79172,    723936.3077,     57369.7434,   8959189.9231,    619873.2217, 1
 13,       4000,  1.81741,    799400.3077,     70039.4678,   9154828.2308,    479596.7261, 1
 13,       4000,  1.78274,    764216.3077,     66147.4250,   9011537.6923,    645932.4608, 1
 13,       4000,  1.79008,    754584.2308,     54339.8377,   9040009.3077,    710489.3877, 1
 13,       4000,  1.71870,    766415.3846,     83831.0410,   8807945.9231,    824208.8638, 1
 14,       4000,  1.76640,    723213.2857,     92161.4526,   8338004.0000,    691955.6543, 1
