Num_threads, sequence_length, time_after_state_init, full_run_time
1, 40000, 130.484253, 131.154221 
2, 40000, 44.480179, 45.401520 
4, 40000, 32.555321, 33.233704 
8, 40000, 29.237793, 29.932615 
16, 40000, 36.430569, 37.132530 
1, 45000, 176.227768, 177.350235 
2, 45000, 60.119534, 60.963989 
4, 45000, 44.975891, 45.811356 
8, 45000, 39.428837, 40.298100 
16, 45000, 59.324501, 60.553368 
1, 50000, 249.430603, 250.469284 
2, 50000, 77.581734, 78.976768 
4, 50000, 59.869347, 61.268391 
8, 50000, 52.200878, 53.251160 
16, 50000, 65.198257, 66.244370 
1, 55000, 281.670044, 282.933594 
2, 55000, 100.007950, 101.676613 
4, 55000, 96.081825, 97.349251 
8, 55000, 95.548668, 96.794441 
16, 55000, 93.404312, 94.608627 
1, 60000, 165.042130, 166.402267 
2, 60000, 100.713493, 102.063461 
4, 60000, 72.233635, 73.607063 
8, 60000, 54.111691, 55.476517 
16, 60000, 100.109795, 101.481720 
1, 65000, 256.119507, 257.700623 
2, 65000, 158.019623, 159.597580 
4, 65000, 117.862953, 119.436028 
8, 65000, 80.527573, 82.117950 
16, 65000, 130.801117, 132.429062 
1, 70000, 265.339935, 267.192474 
2, 70000, 177.597015, 179.421158 
4, 70000, 121.305702, 123.174950 
8, 70000, 88.880142, 90.708160 
16, 70000, 149.370392, 151.115631 
1, 75000, 323.855377, 325.920868 
2, 75000, 224.704956, 226.791107 
4, 75000, 197.848953, 200.001236 
8, 75000, 113.103813, 114.969803 
16, 75000, 194.400085, 196.260361 
1, 80000, 382.189789, 384.542328 
2, 80000, 274.389771, 276.843964 
4, 80000, 172.645004, 175.082794 
8, 80000, 155.341888, 157.366653 
16, 80000, 234.173828, 236.164444 
1, 85000, 450.871765, 453.520050 
2, 85000, 367.223938, 369.936127 
4, 85000, 205.110382, 207.256073 
8, 85000, 171.837433, 173.997253 
16, 85000, 246.914429, 249.028885 
1, 90000, 530.493286, 533.410217 
2, 90000, 435.278259, 438.285248 
4, 90000, 259.094849, 262.062439 
8, 90000, 229.625351, 232.598923 
16, 90000, 285.791992, 288.754669 
1, 95000, 613.066406, 619.157227 
2, 95000, 507.567230, 512.138062 
4, 95000, 279.225403, 283.572601 
8, 95000, 265.087799, 269.755066 
16, 95000, 341.434296, 345.370453 
1, 100000, 704.179749, 708.639343 
2, 100000, 596.169128, 600.924377 
4, 100000, 348.023254, 352.372192 
8, 100000, 316.824280, 319.761780 
16, 100000, 424.575806, 427.821472 
1, 20000, 9.827295, 9.984341 
2, 20000, 7.541441, 7.692899 
4, 20000, 7.091703, 7.113617 
8, 20000, 4.187626, 4.333461 
16, 20000, 9.723852, 9.746128 
1, 25000, 20.814272, 21.055298 
2, 25000, 12.258637, 12.497747 
4, 25000, 8.935648, 9.187668 
8, 25000, 6.607172, 6.846493 
16, 25000, 15.000896, 15.029943 
1, 30000, 31.431438, 31.810286 
2, 30000, 18.416962, 18.786711 
4, 30000, 9.494961, 9.839986 
8, 30000, 9.316559, 9.350317 
16, 30000, 21.398132, 21.431988 
1, 35000, 44.664951, 45.145969 
