


dp_wave
NUM_THREADS, SEQUENCE_LENGTH, SECS
7, 12000, 1.854489 
7, 12000, 1.830219 
7, 12000, 1.830733 
7, 12000, 1.846001 
7, 13000, 2.077234 
7, 13000, 2.068891 
7, 13000, 2.120479 
7, 13000, 2.090653 
7, 13000, 2.090137 
7, 13000, 2.087829 
7, 14000, 2.410016 
7, 14000, 2.500705 
7, 14000, 2.487656 
7, 14000, 2.518504 
7, 14000, 2.504449 
7, 14000, 2.492136 
7, 15000, 2.778640 
7, 15000, 2.798686 
7, 15000, 2.857847 
7, 15000, 2.832046 
7, 15000, 2.818043 
7, 15000, 2.828161 
7, 16000, 3.192710 
7, 16000, 3.178261 
7, 16000, 3.214274 
7, 16000, 3.190834 
7, 16000, 3.210500 
7, 16000, 3.251820 
7, 17000, 3.526706 
7, 17000, 3.542922 
7, 17000, 3.520556 
7, 17000, 3.527843 
7, 17000, 3.496948 
7, 17000, 3.509190 
7, 18000, 4.000445 
7, 18000, 4.037999 
7, 18000, 4.009534 
7, 18000, 3.989821 
7, 18000, 4.023533 
7, 18000, 4.023784 
7, 19000, 4.426488 
7, 19000, 4.480954 
7, 19000, 4.473666 
7, 19000, 4.456321 
7, 19000, 4.489835 
7, 19000, 4.462489 
7, 20000, 4.930452 
7, 20000, 5.012290 
7, 20000, 4.918795 
7, 20000, 4.976453 
7, 20000, 4.951155 
7, 20000, 4.946197 
8, 1000, 0.039648 
8, 1000, 0.044181 
8, 1000, 0.034989 
8, 1000, 0.049998 
8, 1000, 0.041453 
8, 1000, 0.043219 
8, 2000, 0.085818 
8, 2000, 0.091939 
8, 2000, 0.088052 
8, 2000, 0.081748 
8, 2000, 0.084149 
8, 2000, 0.090062 
8, 3000, 0.151428 
8, 3000, 0.153295 
8, 3000, 0.148047 
8, 3000, 0.155976 
8, 3000, 0.156423 
8, 3000, 0.148442 
8, 4000, 0.247231 
8, 4000, 0.238955 
8, 4000, 0.244133 
8, 4000, 0.240768 
8, 4000, 0.248833 
8, 4000, 0.237518 
8, 5000, 0.362800 
8, 5000, 0.356752 
8, 5000, 0.370895 
8, 5000, 0.351365 
8, 5000, 0.357191 
8, 5000, 0.355732 
8, 6000, 0.483404 
8, 6000, 0.499320 
8, 6000, 0.494483 
8, 6000, 0.501642 
8, 6000, 0.491425 
8, 6000, 0.486418 
8, 7000, 0.659316 
8, 7000, 0.654941 
8, 7000, 0.672100 
8, 7000, 0.660756 
8, 7000, 0.650064 
8, 7000, 0.669562 
8, 8000, 0.881237 
8, 8000, 0.867898 
8, 8000, 0.859081 
8, 8000, 0.908282 
8, 8000, 0.876791 
8, 8000, 0.870116 
8, 9000, 1.083298 
8, 9000, 1.085353 
8, 9000, 1.099770 
8, 9000, 1.081271 
8, 9000, 1.089754 
8, 9000, 1.075093 
8, 10000, 1.294630 
8, 10000, 1.288932 
8, 10000, 1.287713 
8, 10000, 1.283024 
8, 10000, 1.303406 
8, 10000, 1.288154 
8, 11000, 1.543918 
8, 11000, 1.541924 
8, 11000, 1.556853 
8, 11000, 1.545267 
8, 11000, 1.533280 
8, 11000, 1.544580 
8, 12000, 1.863658 
8, 12000, 1.865455 
8, 12000, 1.840987 
8, 12000, 1.866201 
8, 12000, 1.866665 
8, 12000, 1.869583 
8, 13000, 2.162140 
8, 13000, 2.177569 
8, 13000, 2.152341 
8, 13000, 2.182538 
8, 13000, 2.153042 
8, 13000, 2.181611 
8, 14000, 2.429365 
8, 14000, 2.455359 
8, 14000, 2.453567 
8, 14000, 2.431430 
8, 14000, 2.443086 
8, 14000, 2.447818 
8, 15000, 2.800184 
8, 15000, 2.774458 
8, 15000, 2.789940 
8, 15000, 2.774445 
8, 15000, 2.766559 
8, 15000, 2.801451 
8, 16000, 3.218789 
8, 16000, 3.247676 
8, 16000, 3.241511 
8, 16000, 3.229697 
8, 16000, 3.211819 
8, 16000, 3.222173 
8, 17000, 3.661410 
8, 17000, 3.646641 
8, 17000, 3.663419 
8, 17000, 3.656569 
8, 17000, 3.669701 
8, 17000, 3.642649 
8, 18000, 3.978543 
8, 18000, 3.990312 
8, 18000, 3.960377 
8, 18000, 3.948069 
8, 18000, 3.933240 
8, 18000, 3.939556 
8, 19000, 4.393794 
8, 19000, 4.379717 
8, 19000, 4.407015 
8, 19000, 4.370916 
8, 19000, 4.374835 
8, 19000, 4.390083 
8, 20000, 4.974365 
8, 20000, 4.979392 
8, 20000, 4.996543 
8, 20000, 4.997115 
8, 20000, 4.994878 
8, 20000, 4.998984 
9, 1000, 0.048169 
9, 1000, 0.064304 
9, 1000, 0.049901 
9, 1000, 0.048003 
9, 1000, 0.051227 
9, 1000, 0.061460 
9, 2000, 0.164526 
9, 2000, 0.145757 
9, 2000, 0.140920 
9, 2000, 0.157744 
9, 2000, 0.151610 
9, 2000, 0.159286 
9, 3000, 0.254423 
9, 3000, 0.268980 
9, 3000, 0.281352 
9, 3000, 0.273533 
9, 3000, 0.283287 
9, 3000, 0.267443 
9, 4000, 0.401599 
9, 4000, 0.407623 
9, 4000, 0.416610 
9, 4000, 0.406476 
9, 4000, 0.429745 
9, 4000, 0.427211 
9, 5000, 0.594855 
9, 5000, 0.580358 
9, 5000, 0.599624 
9, 5000, 0.596811 
9, 5000, 0.589411 
9, 5000, 0.607755 
9, 6000, 0.818732 
9, 6000, 0.827154 
9, 6000, 0.825846 
9, 6000, 0.814481 
9, 6000, 0.803468 
9, 6000, 0.822007 
9, 7000, 1.079047 
9, 7000, 1.076947 
9, 7000, 1.073435 
9, 7000, 1.052225 
9, 7000, 1.071597 
9, 7000, 1.081421 
9, 8000, 1.379907 
9, 8000, 1.388333 
9, 8000, 1.401029 
9, 8000, 1.394840 
9, 8000, 1.388616 
9, 8000, 1.382235 
9, 9000, 1.727760 
9, 9000, 1.752663 
9, 9000, 1.717601 
9, 9000, 1.738096 
9, 9000, 1.723843 
9, 9000, 1.735825 
9, 10000, 2.132551 
9, 10000, 2.120688 
9, 10000, 2.132983 
9, 10000, 2.121603 
9, 10000, 2.130339 
9, 10000, 2.133876 
9, 11000, 2.487943 
9, 11000, 2.491615 
9, 11000, 2.493259 
9, 11000, 2.522938 
9, 11000, 2.507987 
9, 11000, 2.520101 
9, 12000, 2.909063 
9, 12000, 2.958271 
9, 12000, 2.926414 
9, 12000, 2.946915 
9, 12000, 2.933324 
9, 12000, 2.957977 
9, 13000, 3.476166 
9, 13000, 3.454140 
9, 13000, 3.430235 
9, 13000, 3.472415 
9, 13000, 3.487969 
9, 13000, 3.468256 
9, 14000, 3.941039 
9, 14000, 3.966228 
9, 14000, 3.923655 
9, 14000, 3.986334 
9, 14000, 4.010049 
9, 14000, 4.006746 
9, 15000, 4.436967 
9, 15000, 4.486386 
9, 15000, 4.455129 
9, 15000, 4.432439 
9, 15000, 4.481775 
9, 15000, 4.429182 
9, 16000, 5.105430 
9, 16000, 5.101523 
9, 16000, 5.098486 
9, 16000, 5.114714 
9, 16000, 5.102985 
9, 16000, 5.117874 
9, 17000, 5.833840 
9, 17000, 5.848388 
9, 17000, 5.721561 
9, 17000, 5.849285 
9, 17000, 5.824625 
9, 17000, 5.822454 
9, 18000, 6.432905 
9, 18000, 6.464286 
9, 18000, 6.430295 
9, 18000, 6.458280 
